Region,Sector,Code,Number of jobs,Median,Annual percentage change (Median),Mean,Annual percentage change (Mean),10,20,25,30,40,60,70,75,80,90
United Kingdom,All,K02000001,22141,24006,2.2,29832,2.9,7740,12351,14720,16679,20260,28345,33521,36661,40380,52801
United Kingdom,Public sector,,5445,25648,2.5,28575,2.2,8687,13869,16123,18189,21899,29814,34644,37080,39862,48194
United Kingdom,Private sector,,14786,23628,2.5,30779,3.2,7742,12040,14500,16388,19893,27900,33241,36714,40991,55854
United Kingdom,Non-profit body or mutual association,,1900,22748,2.2,26113,1.5,5909,10537,12843,14948,18780,26801,32155,35058,38616,48905
North East,All,E12000001,859,21636,-0.5,25612,1.6,7754,12078,14163,15796,18715,25206,29552,32297,35559,44194
North East,Public sector,,256,23601,0.3,27432,1.8,9427,14624,16379,18078,20661,27035,31936,34875,37446,43918
North East,Private sector,,526,20857,0.4,24872,1.9,7578,11281,13205,15058,17985,24488,28632,31379,34432,44029
North East,Non-profit body or mutual association,,77,20425,0.3,24642,0,5431,10335,12294,14124,17079,24129,27934,30702,34362,x
North West,All,E12000002,2353,22564,2.1,26886,2.5,7485,12155,14332,16122,19190,26363,31092,34196,37764,47903
North West,Public sector,,623,24531,0.4,28174,1.8,8294,13652,15955,17781,21147,28730,33623,36544,39528,48038
North West,Private sector,,1559,22028,3.6,26835,3.3,7472,11763,14007,15755,18714,25739,30419,33514,37167,48364
North West,Non-profit body or mutual association,,170,20245,-2.1,22690,-3.5,6151,10077,12245,13863,17388,23395,27203,30041,33305,42186
Yorkshire and The Humber,All,E12000003,1802,21803,2.3,25646,2.8,7125,11430,13528,15478,18530,25394,29880,32388,35547,45000
Yorkshire and The Humber,Public sector,,460,22725,-0.6,26059,1.1,8357,12978,15133,16535,19767,26569,30643,33064,36356,43821
Yorkshire and The Humber,Private sector,,1197,21303,2.5,25635,3.3,7074,10985,13036,15064,18132,25000,29471,32149,35124,45947
Yorkshire and The Humber,Non-profit body or mutual association,,144,21805,3.9,24390,3.9,5090,9821,11893,14145,18222,25499,29960,32332,35967,46542
East Midlands,All,E12000004,1515,21762,2.1,25642,2.1,7021,11366,13420,15361,18477,25535,30009,33000,36221,45937
East Midlands,Public sector,,322,22563,-0.4,25353,-1.2,x,11145,13132,14894,18822,26098,30612,33821,36555,43405
East Midlands,Private sector,,1080,21589,3.3,25898,3.6,7574,11525,13761,15600,18477,25352,29884,32633,36028,46642
East Midlands,Non-profit body or mutual association,,113,21559,0.8,24049,-3.7,5223,9734,11630,13720,17709,25729,30039,32851,36215,46282
West Midlands,All,E12000005,1870,22827,2.4,27236,3,7707,12085,14291,16048,19284,26667,31565,34855,38385,48668
