Description,Code,Number of jobs (thousand),Median,Annual percentage change,Mean,Annual percentage change,10,20,25,30,40,60,70,75,80,90
All,,649,22016,3.8,25704,2.9,7933,11999,14150,15843,18849,25718,30264,32882,36288,44538
"Managers, directors and senior officials",1,49,39064,3.3,46153,4.6,13753,20534,23235,27288,32995,44397,53851,58724,61514,x
  Corporate managers and directors,11,41,42221,2,49217,3.4,15799,22126,26290,29514,35963,48113,56796,60585,x,x
    Chief executives and senior officials,111,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Chief executives and senior officials,1115,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Elected officers and representatives,1116,..,,,,,,,,,,,,,,
    Production managers and directors,112,9,x,,55680,4.1,x,x,x,x,x,x,x,x,x,x
      Production managers and directors in manufacturing,1121,x,x,,57807,9.2,x,x,x,x,x,x,x,x,x,x
      Production managers and directors in construction,1122,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Production managers and directors in mining and energy,1123,..,,,,,,,,,,,,,,
    Functional managers and directors,113,10,x,,53604,,x,x,x,x,39431,x,x,x,x,x
      Financial managers and directors,1131,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Marketing and sales directors,1132,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Purchasing managers and directors,1133,x,x,,43290,-12.4,x,x,x,x,x,x,x,x,x,x
      Advertising and public relations directors,1134,:,,,,,,,,,,,,,,
      Human resource managers and directors,1135,x,51872,15,56001,25.8,x,x,x,x,x,x,x,x,x,x
      Information technology and telecommunications directors,1136,..,,,,,,,,,,,,,,
      Functional managers and directors n.e.c.,1139,x,x,,x,,x,x,x,x,x,x,x,x,x,x
    Financial institution managers and directors,115,x,x,,42169,4,x,x,x,x,x,x,x,x,x,x
      Financial institution managers and directors,1150,x,x,,42169,4,x,x,x,x,x,x,x,x,x,x
    Managers and directors in transport and logistics,116,x,42717,,43824,7.4,x,x,x,x,35587,x,x,x,x,x
      Managers and directors in transport and distribution,1161,x,44883,,45668,11.8,x,x,x,x,x,x,x,x,x,x
      Managers and directors in storage and warehousing,1162,x,x,,42169,3.5,x,x,x,x,x,x,x,x,x,x
    Senior officers in protective services,117,x,56873,4.8,56301,5.4,x,x,x,x,x,x,x,x,x,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Senior police officers,1172,x,60514,0.6,63455,6.5,x,x,x,x,x,x,x,x,x,x
"      Senior officers in fire, ambulance, prison and related services",1173,x,33976,-2.2,37237,-7.7,x,x,x,x,x,x,x,x,x,x
    Health and social services managers and directors,118,x,x,,36828,-13.3,x,x,x,x,x,x,x,x,x,x
      Health services and public health managers and directors,1181,x,x,,42425,,x,x,x,x,x,x,x,x,x,x
      Social services managers and directors,1184,x,x,,x,,x,x,x,x,x,x,x,x,x,x
    Managers and directors in retail and wholesale,119,x,26477,-2.3,32558,-5.5,x,x,x,x,x,x,x,x,x,x
      Managers and directors in retail and wholesale,1190,x,26477,-2.3,32558,-5.5,x,x,x,x,x,x,x,x,x,x
  Other managers and proprietors,12,9,28550,5.3,31901,2.6,x,18535,18994,x,x,x,x,x,x,x
    Managers and proprietors in agriculture related services,121,..,,,,,,,,,,,,,,
      Managers and proprietors in agriculture and horticulture,1211,..,,,,,,,,,,,,,,
"      Managers and proprietors in forestry, fishing and related services",1213,:,,,,,,,,,,,,,,
    Managers and proprietors in hospitality and leisure services,122,x,x,,23660,,x,x,x,x,x,x,x,x,x,x
      Hotel and accommodation managers and proprietors,1221,..,,,,,,,,,,,,,,
      Restaurant and catering establishment managers and proprietors,1223,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Publicans and managers of licensed premises,1224,..,,,,,,,,,,,,,,
      Leisure and sports managers,1225,x,x,,26994,-3,x,x,x,x,x,x,x,x,x,x
      Travel agency managers and proprietors,1226,:,,,,,,,,,,,,,,
    Managers and proprietors in health and care services,124,x,x,,34967,-2.4,x,x,x,x,x,x,x,x,x,x
      Health care practice managers,1241,..,,,,,,,,,,,,,,
"      Residential, day and domiciliary  care managers and proprietors",1242,x,x,,x,,x,x,x,x,x,x,x,x,x,x
    Managers and proprietors in other services,125,x,x,,35713,6.7,x,x,x,x,x,x,x,x,x,x
"      Property, housing and estate managers",1251,x,x,,32196,,x,x,x,x,x,x,x,x,x,x
      Garage managers and proprietors,1252,..,,,,,,,,,,,,,,
      Hairdressing and beauty salon managers and proprietors,1253,:,,,,,,,,,,,,,,
      Shopkeepers and proprietors – wholesale and retail,1254,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Waste disposal and environmental services managers,1255,:,,,,,,,,,,,,,,
      Managers and proprietors in other services n.e.c.,1259,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Professional occupations,2,150,34504,0.7,35625,-0.2,15904,23272,25696,27542,30765,37584,40275,41727,44426,x
"  Science, research, engineering and technology professionals",21,29,35339,-1.5,39517,2.9,23623,27318,27956,29000,31635,38337,42348,44505,x,x
    Natural and social science professionals,211,x,30431,10.8,35958,8.3,x,x,x,x,29241,35425,x,x,x,x
      Chemical scientists,2111,x,x,,33928,,x,x,x,x,x,x,x,x,x,x
      Biological scientists and biochemists,2112,x,28870,,32803,14.4,x,x,x,x,x,x,x,x,x,x
      Physical scientists,2113,..,,,,,,,,,,,,,,
      Social and humanities scientists,2114,..,,,,,,,,,,,,,,
      Natural and social science professionals n.e.c.,2119,x,x,,42638,8.6,x,x,x,x,x,x,x,x,x,x
    Engineering professionals,212,9,36032,-3.3,43371,2.7,x,27213,28588,31156,31768,x,x,x,x,x
      Civil engineers,2121,x,x,,58093,25.1,x,x,x,x,x,x,x,x,x,x
      Mechanical engineers,2122,x,x,,42018,2.5,x,x,x,x,x,x,x,x,x,x
      Electrical engineers,2123,x,x,,50657,8.2,x,x,x,x,x,x,x,x,x,x
      Electronics engineers,2124,..,,,,,,,,,,,,,,
      Design and development engineers,2126,x,x,,29789,,x,x,x,x,x,x,x,x,x,x
      Production and process engineers,2127,x,x,,25164,,x,x,x,x,x,x,x,x,x,x
      Engineering professionals n.e.c.,2129,x,x,,40515,7.6,x,x,x,x,x,x,x,x,x,x
    Information technology and telecommunications professionals,213,14,35264,-4,38059,1.1,x,26971,27706,28400,31749,37572,39416,x,x,x
      IT specialist managers,2133,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      IT project and programme managers,2134,x,x,,50801,15.5,x,x,x,x,x,x,x,x,x,x
"      IT business analysts, architects and systems designers",2135,x,33695,-8.5,36221,2.5,x,x,x,x,x,x,x,x,x,x
      Programmers and software development professionals,2136,x,34559,-1.5,35298,-2.4,x,x,x,x,x,x,x,x,x,x
      Web design and development professionals,2137,..,,,,,,,,,,,,,,
      Information technology and telecommunications professionals n.e.c.,2139,x,x,,28679,-16.9,x,x,x,x,x,x,x,x,x,x
    Conservation and environment professionals,214,x,33158,,34772,27.4,x,x,x,x,x,x,x,x,x,x
      Conservation professionals,2141,..,,,,,,,,,,,,,,
      Environment professionals,2142,x,30482,,33130,31.7,x,x,x,x,x,x,x,x,x,x
    Research and development managers ,215,x,49945,0.4,54909,5.2,x,x,x,x,x,x,x,x,x,x
      Research and development managers,2150,x,49945,0.4,54909,5.2,x,x,x,x,x,x,x,x,x,x
  Health professionals,22,49,28923,1.4,33364,-7.3,x,19639,21183,23401,26530,32699,36001,38960,x,x
    Health professionals,221,13,40812,,49114,,x,x,27767,28905,34390,x,x,x,x,x
      Medical practitioners,2211,x,x,,70467,-6.3,x,x,x,x,x,x,x,x,x,x
      Psychologists,2212,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Pharmacists,2213,x,x,,27120,,x,x,x,x,x,x,x,x,x,x
      Ophthalmic opticians,2214,..,,,,,,,,,,,,,,
      Dental practitioners,2215,..,,,,,,,,,,,,,,
      Veterinarians,2216,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Medical radiographers,2217,x,x,,27006,-3.2,x,x,x,x,x,x,x,x,x,x
      Podiatrists,2218,x,x,,35494,,x,x,x,x,x,x,x,x,x,x
      Health professionals n.e.c.,2219,x,31160,,35878,8.3,x,x,x,x,x,x,x,x,x,x
