Description,Code,Number of jobs,Median,Median annual percentage change,Mean,Mean annual percentage change,10,20,25,30,40,60,70,75,80,90
ALL EMPLOYEES,,22141,24006,2.2,29832,2.9,7740,12351,14720,16679,20260,28345,33521,36661,40380,52801
All Industries and Services,,22132,24013,2.2,29836,2.9,7740,12355,14724,16683,20262,28350,33528,36666,40384,52802
All Index of Production Industries,,2600,29446,3.5,34584,4,15888,19322,20895,22470,25874,33393,38419,41152,44672,56294
All Manufacturing,,2254,28699,3.5,33592,3.3,15693,18966,20544,22030,25257,32537,37541,40221,43626,54306
All Service Industries,,18590,22923,2.1,29014,2.6,7051,11401,13533,15560,19137,27168,32408,35695,39424,52034
"AGRICULTURE, FORESTRY AND FISHING ",A ,117,20858,2.4,22366,1.6,x,11400,13761,15600,18229,23488,26465,28520,30698,x
"Crop and animal production, hunting and related service activities ",1,105,20146,1.5,20987,0.2,x,10967,13090,15158,18000,22503,25795,27218,29883,x
Forestry and logging ,2,8,25874,4.1,30497,7.2,x,16189,19001,20657,22132,31072,x,x,x,x
Fishing and aquaculture ,3,x,x,,x,,x,x,x,x,x,x,x,x,x,x
MINING AND QUARRYING ,B ,38,40021,3.6,57209,19,23810,29216,30717,32248,35649,44147,53293,61836,x,x
Mining of coal and lignite ,5,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Extraction of crude petroleum and natural gas ,6,7,x,,x,,x,x,45605,53463,68038,x,x,x,x,x
Mining of metal ores ,7,..,,,,,,,,,,,,,,
Other mining and quarrying ,8,20,34975,6.9,38633,6,21914,26340,28107,30032,32415,38425,40897,42045,x,x
Mining support service activities ,9,9,44928,-8.8,48371,-1.6,x,30459,31532,32031,39450,52399,59651,x,x,x
MANUFACTURING ,C ,2254,28699,3.5,33592,3.3,15693,18966,20544,22030,25257,32537,37541,40221,43626,54306
Manufacture of food products ,10,325,22000,1.2,26577,2.1,13345,16265,17091,17972,19825,24868,28666,31172,34262,43121
Manufacture of beverages ,11,42,35032,6,40069,-1.8,19768,23612,25823,27254,30900,38648,43682,46905,48712,x
Manufacture of tobacco products ,12,:,,,,,,,,,,,,,,
Manufacture of textiles ,13,48,20259,1.5,26124,,10672,15108,15676,16443,18645,22414,25139,27580,29386,x
Manufacture of wearing apparel ,14,17,14757,1.1,18291,-4.8,6240,9360,9917,10876,12664,16627,18959,x,x,x
Manufacture of leather and related products ,15,9,19117,5.3,21695,5.7,x,15114,15590,16439,17570,21145,x,x,x,x
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,50,23579,2.5,27308,9.2,14824,17873,18748,19947,21924,26717,30711,32445,34873,x
Manufacture of paper and paper products ,17,59,29515,3.1,36173,3.6,17411,20819,22200,23646,26708,32207,36926,39717,41798,x
Printing and reproduction of recorded media ,18,87,25475,5,29501,4.2,14148,17846,19100,20374,23223,28248,32160,34797,38020,x
Manufacture of coke and refined petroleum products ,19,9,55972,2.1,55533,2.8,x,36380,39547,44504,53347,59478,62403,x,x,x
Manufacture of chemicals and chemical products ,20,77,31123,-2,37246,-0.6,15071,19064,21206,23233,26562,34951,40368,43764,47351,x
Manufacture of basic pharmaceutical products and pharmaceutical preparations ,21,48,35402,0.5,42914,-1.8,x,23582,25319,27534,30446,40024,44128,x,x,x
Manufacture of rubber and plastic products ,22,147,25083,1.9,31152,3.4,15706,18000,19323,20385,22310,28577,31888,34098,36634,x
