Description,Code,Number of jobs,Median,Annual percentage change (Median),Mean,Annual percentage change (Mean),10,20,25,30,40,60,70,75,80,90
All employees,,22141,24006,2.2,29832,2.9,7740,12351,14720,16679,20260,28345,33521,36661,40380,52801
"Managers, directors and senior officials",1,2378,40218,0.5,55745,1.9,16000,22996,25802,28683,34280,47584,57676,64627,72904,101946
  Corporate managers and directors,11,1988,43913,1.2,60136,2,16851,24922,28120,31079,37367,52000,62991,70000,78930,108624
    Chief executives and senior officials,111,87,84152,3.5,122818,9.1,x,38352,47723,53008,67667,98666,114652,129129,x,x
      Chief executives and senior officials,1115,79,89983,4.3,133072,9,30000,48491,54282,62256,76481,103113,121367,x,x,x
      Elected officers and representatives,1116,8,x,,x,,x,x,x,x,x,x,x,x,x,x
    Production managers and directors,112,557,43855,-1.6,55029,0.5,16188,26929,30000,32966,38945,50272,60427,66368,73225,100293
      Production managers and directors in manufacturing,1121,453,44212,-2.2,56322,1.2,15000,26222,29987,32693,39019,51852,62744,68937,76410,104680
      Production managers and directors in construction,1122,94,42000,-0.3,48796,-2.5,22063,28590,30716,33321,37982,45984,52157,55738,62842,x
      Production managers and directors in mining and energy,1123,10,44608,-1.3,55109,-3.6,x,x,33108,36768,42610,47585,x,x,x,x
    Functional managers and directors,113,734,56729,-0.1,73085,-0.1,19760,32000,36168,40469,48232,67396,79007,86895,96434,128032
      Financial managers and directors,1131,279,59905,-0.2,79878,0.2,18010,30614,35365,39675,49591,71257,85162,92781,102520,144118
      Marketing and sales directors,1132,184,71608,-3.6,83144,-6.9,18000,37266,43704,49010,60000,83179,94707,100523,112316,x
      Purchasing managers and directors,1133,56,46658,-1,55622,4.5,28963,35511,38208,40023,43082,52054,59200,65034,x,x
      Advertising and public relations directors,1134,10,58208,10.4,63461,8.1,x,x,42109,45433,54632,70950,74275,x,x,x
      Human resource managers and directors,1135,118,45923,1,53359,2.4,22360,29946,32205,35000,40874,51507,58023,60874,65517,x
      Information technology and telecommunications directors,1136,29,71430,10.1,82948,11.4,x,48000,53556,56330,63778,78489,x,x,x,x
      Functional managers and directors n.e.c.,1139,59,46788,-3.3,62232,2.4,11241,20598,25241,29636,40252,56963,67145,72064,76756,x
    Financial institution managers and directors,115,69,47168,-7.1,76534,0.2,27211,33468,35499,36974,40630,55419,62625,68401,x,x
      Financial institution managers and directors,1150,69,47168,-7.1,76534,0.2,27211,33468,35499,36974,40630,55419,62625,68401,x,x
    Managers and directors in transport and logistics,116,182,31906,1.5,36110,0.5,18615,22988,24972,26059,29028,35342,39222,42119,45732,55895
      Managers and directors in transport and distribution,1161,62,38599,3.6,44226,2.6,24000,28653,29923,31141,34368,42212,47224,50873,54207,x
      Managers and directors in storage and warehousing,1162,120,29034,0.9,31907,-0.4,17209,20869,22368,23808,26478,32169,35689,37478,39781,x
    Senior officers in protective services,117,18,55838,-1.4,55482,-2.2,x,44966,48490,49476,52362,58491,61629,63577,x,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Senior police officers,1172,11,59634,-2.5,60950,0.6,x,53992,55417,56088,57647,61718,64384,x,x,x
"      Senior officers in fire, ambulance, prison and related services",1173,x,44980,,47136,-6.4,x,x,36180,38317,43738,47578,x,x,x,x
    Health and social services managers and directors,118,55,43326,5.7,47039,4.8,20931,27460,x,32751,38573,47911,53331,56827,x,x
      Health services and public health managers and directors,1181,40,45415,7.4,49203,4.9,20141,28405,32302,34396,41430,50485,57408,58808,62299,x
      Social services managers and directors,1184,x,x,,41415,3.1,x,x,x,x,x,x,x,x,x,x
    Managers and directors in retail and wholesale,119,286,26693,2.5,31773,1.4,13061,17604,19078,20469,23360,30137,34329,37349,40536,54039
      Managers and directors in retail and wholesale,1190,286,26693,2.5,31773,1.4,13061,17604,19078,20469,23360,30137,34329,37349,40536,54039
